Example flight number,Flight number used for lookup,Lookup status,Number of legs,First leg departure airport IATA,Last leg arrival airport IATA,Distance in kilometers
ENT4766,ENT4766,OK,2,AYT,SZZ,2224.10788
FR9663,FR9663,FAIL,,,,
BA812,BA0812,FAIL,,,,
LO3923,LO3923,OK,2,WAW,KRK,246.22902
FR4396,FR4396,OK,2,ARN,MMX,532.69154
FR6085,FR6085,FAIL,,,,
FR4689,FR4689,OK,2,ALC,ARN,2714.95658
FR1901,FR1901,OK,2,DUB,KRK,1823.38222
LH406,LH0406,FAIL,,,,
WF666,WF0666,FAIL,,,,
FR6085,FR6085,FAIL,,,,
FR1006,FR1006,OK,2,OTP,STN,2069.61124
KL0781,KL0781,FAIL,,,,
FR4689,FR4689,OK,2,ALC,ARN,2714.95658
